id,name,categorygroupid
1108,"DJ service",4
1109,"DJ supply store",32
1110,"Do-it-yourself shop",32
1111,"Dock builder",7
1112,Doctor,22
1113,"Dodge dealer",8
1114,"Dog breeder",26
1115,"Dog cafe",14
1116,"Dog day care center",26
1117,"Dog park",26
1118,"Dog trainer",26
1119,"Dog walker",26
1120,"Dogsled ride service",34
1121,"Dojo restaurant",14
1122,"Doll restoration service",4
1123,"Doll store",32
1124,"Dollar store",32
1125,"Domestic abuse treatment center",33
1126,"Domestic airport",37
1127,"Dominican restaurant",14
1128,"Donations center",23
1129,"Doner kebab restaurant",14
1130,"Donut shop",14
1131,"Door manufacturer",21
1132,"Door shop",32
1133,"Door supplier",35
1134,"Door warehouse",32
1135,"Double glazing installer",7
1136,Doula,17
1137,"Down home cooking restaurant",14
1138,"Drafting equipment supplier",35
1139,"Drafting service",27
1140,"Drainage service",19
1141,"Drama school",9
1142,"Drama theater",4
1143,"Drawing lessons",4
1144,"Dress and tuxedo rental service",32
1145,"Dress store",32
1146,Dressmaker,32
1147,"Dried flower shop",32
1148,"Dried seafood store",14
1149,"Drilling contractor",7
1150,"Drilling equipment supplier",35
1151,"Drinking water fountain",19
1152,"Drive-in movie theater",4
1153,"Driver and vehicle licensing agency",15
1154,"Driver’s license office",15
1155,"Drivers license training school",9
1156,"Driveshaft shop",21
1157,"Driving school",9
1158,"Driving test center",15
1159,"Drone shop",32
1160,"Drug testing service",17
1161,"Drug store",17
1162,"Drum school",9
1163,"Drum store",32
1164,"Dry cleaner",25
1165,"Dry fruit store",32
1166,"Dry ice supplier",35
1167,"Dry wall contractor",7
1168,"Dry wall supply store",32
1169,"DS Automobiles dealer",8
1170,"Ducati dealer",8
1171,"Dude ranch",20
1172,"Dump truck dealer",8
1173,"Dumpling restaurant",14
1174,"Dumpster rental service",24
1175,"Durum restaurant",14
1176,"Dutch restaurant",14
1177,"Duty free store",32
1178,"DVD store",32
1179,"Dye store",32
1180,Dyeworks,21
1181,"Dynamometer supplier",35
1182,"E-commerce agency",27
1183,"E-commerce service",27
1184,"Ear piercing service",25
1185,"Earth works company",7
1186,"East African restaurant",14
1187,"East Javanese restaurant",14
1188,"Eastern European restaurant",14
1189,"Eastern Orthodox Church",30
1190,"Eating disorder treatment center",17
1191,"Eclectic restaurant",14
1192,"Ecological park",20
1193,"Ecologists association",23
1194,"Economic consultant",27
1195,"Economic development agency",15
1196,"Ecuadorian restaurant",14
1197,"Education center",9
1198,"Educational consultant",9
1199,"Educational institution",9
1200,"Educational supply store",32
1201,"Educational testing service",9
1202,"EFTPOS equipment supplier",35
1203,"Egg supplier",35
1204,"Egyptian restaurant",14
1205,"Elder law attorney",27
1206,"Electric motor repair shop",31
1207,"Electric motor store",32
1208,"Electric utility company",10
1209,"Electrical equipment manufacturer",21
1210,"Electric vehicle charging station",21
1211,"Electric vehicle charging station contractor",21
1212,"Electrical appliance wholesaler",32
1213,"Electrical engineer",11
1214,"Electrical equipment supplier",35
1215,"Electrical installation service",24
1216,"Electrical repair shop",31
1217,"Electrical substation",10
1218,"Electrical supply store",32
1219,"Electrical wholesaler",32
1220,Electrician,19
1221,"Electrolysis hair removal service",25
1222,"Electronic engineer",11
1223,"Electronic parts supplier",35
1224,"Electronics accessories wholesaler",32
1225,"Electronics company",32
1226,"Electronics engineer",11
1227,"Electronics exporter",21
1228,"Electronics hire shop",32
1229,"Electronics manufacturer",21
1230,"Electronics repair shop",31
1231,"Electronics store",32
1232,"Electronics vending machine",32
1233,"Electronics wholesaler",32
1234,"Elementary school",9
1235,"Elevator manufacturer",7
1236,"Elevator service",7
1237,Embassy,15
1238,"Embossing service",27
1239,"Embroidery service",27
1240,"Embroidery shop",32
1241,"Emergency call booth",15
1242,"Emergency care physician",22
1243,"Emergency care service",17
1244,"Emergency dental service",17
1245,"Emergency locksmith service",19
1246,"Emergency management ministry",15
1247,"Emergency room",17
1248,"Emergency training",9
1249,"Emergency training school",9
1250,"Emergency veterinarian service",26
1251,"Employment attorney",27
1252,Endocrinologist,22
1253,Endodontist,22
1254,Endoscopist,17
1255,"Energy equipment and solutions",10
1256,"Energy supplier",35
1257,"Engine rebuilding service",21
1258,Engineer,11
1259,"Engineering consultant",11
1260,"Engineering school",9
1261,"English language camp",9
1262,"English language instructor",9
1263,"English language school",9
1264,"English restaurant",14
1265,Engraver,4
1266,Entertainer,4
1267,"Entertainment agency",4
1268,"Envelope supplier",35
1269,"Environment office",27
1270,"Environment renewable natural resources",1
1271,"Environmental consultant",27
1272,"Environmental engineer",11
1273,"Environmental health service",33
1274,"Environmental organization",23
1275,"Environmental protection organization",23
1276,"Episcopal church",30
1277,"Equestrian club",34
1278,"Equestrian facility",34
1279,"Equestrian store",32
1280,"Equipment exporter",21
1281,"Equipment importer",21
1282,"Equipment rental agency",32
1283,"Equipment supplier",35
1284,"Eritrean restaurant",14
1285,"Erotic massage",6
1286,"Escape room center",4
1287,"Escrow service",27
1288,"Espresso bar",14
1289,"Estate appraiser",28
1290,"Estate liquidator",28
1291,"Estate planning attorney",27
1292,"Ethiopian restaurant",14
1293,"Ethnographic museum",4
1294,"European restaurant",14
1295,"Evangelical church",30
1296,"Evening dress rental service",32
1297,"Evening school",9
1298,"Event management company",12
1299,"Event planner",12
1300,"Event technology service",12
1301,"Event ticket seller",12
1302,"Event venue",12
1303,"Excavating contractor",7
1304,"Executive suite rental agency",28
1305,Executor,27
1306,Exhibit,4
1307,"Exhibition and trade centre",27
1308,"Exhibition planner",12
1309,Exporter,27
1310,"Extended stay hotel",20
1311,"Extremaduran restaurant",14
1312,"Eye care center",17
1313,"Eyebrow bar",6
1314,"Eyelash salon",6
1315,"Fabric product manufacturer",21
1316,"Fabric store",32
1317,"Fabric wholesaler",32
1318,"Fabrication engineer",11
1319,"Facial spa",6
1320,"Factory equipment supplier",35
1321,"Faculty of arts",9
1322,"Faculty of law",9
1323,"Faculty of pharmacy",9
1324,"Faculty of psychology",9
1325,"Faculty of science",9
1326,"Faculty of sports",9
1327,"Office of a fair trade organization",15
1328,Fairground,12
1329,"Falafel restaurant",14
1330,"Family counselor",17
1331,"Family day care service",19
1332,"Family law attorney",27
1333,"Family planning center",17
1334,"Family planning counselor",17
1335,"Family practice physician",22
1336,"Family restaurant",14
1337,"Family service center",19
1338,Farm,2
1339,"Farm bureau",2
1340,"Farm equipment repair service",31
1341,"Farm equipment supplier",35
1342,"Farm household tour",2
1343,"Farm school",9
1344,"Farm shop",2
1345,"Farmers’ market",2
1346,Farmstay,20
1347,"Fashion accessories store",32
1348,"Fashion design school",9
1349,"Fashion designer",4
1350,"Fast food restaurant",14
1351,"Fastener supplier",35
1352,Favela,23
1353,"Fax service",27
1354,"Federal Agency for Technical Relief",15
1355,"Federal credit union",13
1356,"Federal government office",15
1357,"Federal police",15
1358,"Federal reserve bank",13
1359,"Feed manufacturer",2
1360,"Animal feed store",2
1361,"Felt boots store",32
1362,"Fence contractor",7
1363,"Fence supply store",32
1364,"Fencing salon",34
1365,"Fencing school",9
1366,"Feng shui consultant",19
1367,"Feng shui shop",32
1368,"Ferrari dealer",8
1369,"Ferris wheel",4
1370,"Ferry service",37
1371,"Fertility clinic",17
1372,"Fertility physician",22
1373,"Fertilizer supplier",35
1374,Festival,12
1375,"Festival hall",12
1376,"Fiat dealer",8
1377,"Fiber optic products supplier",35
1378,"Fiberglass repair service",31
1379,"Fiberglass supplier",35
1380,"Figurine shop",32
1381,"Filipino restaurant",14
1382,"Film and photograph library",4
1383,"Film production company",4
1384,"Filtration plant",32
1385,"Finance broker",13
1386,"Financial audit",13
1387,"Financial consultant",13
1388,"Financial institution",13
1389,"Financial planner",13
1390,"Fine dining restaurant",14
1391,"Fingerprinting service",27
1392,"Finishing materials supplier",35
1393,"Finnish restaurant",14
1394,"Fire alarm supplier",35
1395,"Fire damage restoration service",7
1396,"Fire department equipment supplier",35
1397,"Fire fighters academy",9
1398,"Fire protection consultant",27
1399,"Fire protection equipment supplier",35
1400,"Fire protection service",27
1401,"Fire protection system supplier",35
1402,"Fire station",15
1403,"Firearms academy",9
1404,"Fireplace manufacturer",18
1405,"Fireplace store",18
1406,"Firewood supplier",35
1407,"Fireworks store",12
1408,"Fireworks supplier",35
1409,"First aid station",17
1410,"Fish & chips restaurant",14
1411,"Fish and chips takeaway",14
1412,"Fish farm",2
1413,"Fish processing",2
1414,"Fish restaurant",14
1415,"Fish spa",6
1416,"Fish store",32
1417,"Fishing camp",34
1418,"Fishing charter",34
1419,"Fishing club",34
1420,"Fishing pier",34
1421,"Fishing pond",34
1422,"Fishing store",32
1423,"Fitness center",34
1424,"Exercise equipment store",32
1425,"Fitness equipment wholesaler",32
1426,"Fitted furniture supplier",35
1427,"Fixed-base operator",37
1428,"Flag store",32
1429,"Flamenco dance store",4
1430,"Flamenco school",4
1431,"Flamenco theater",4
1432,"Flavours, fragrances, and aroma supplier",35
1433,"Flea market",32
1434,"Flight school",9
1435,"Floating market",32
1436,"Floor refinishing service",7
1437,"Floor sanding and polishing service",7
1438,"Flooring contractor",7
1439,"Flooring store",32
1440,"Floridian restaurant",14
1441,Florist,32
1442,"Flour mill",21
1443,"Flower delivery",32
1444,"Flower designer",32
1445,"Flower market",32
1446,"FMCG goods wholesaler",32
1447,"FMCG manufacturer",21
1448,"Foam rubber producer",21
1449,"Foam rubber supplier",35
1450,"Folk high school",9
1451,"Fondue restaurant",14
1452,"Food and beverage consultant",14
1453,"Food and beverage exporter",14
1454,"Food bank",23
1455,"Food broker",14
1456,"Food court",14
1457,"Food machinery supplier",35
1458,"Food manufacturer",21
1459,"Food manufacturing supply",21
1460,"Food processing company",21
1461,"Food processing equipment",21
1462,"Food producer",2
1463,"Food products supplier",35
1464,"Food seasoning manufacturer",21
1465,"Foot bath",6
1466,"Foot care",17
1467,"Foot massage parlor",6
1468,"Football club",34
1469,"American football field",34
1470,"Ford dealer",8
1471,"Foreclosure service",28
1472,"Foreign consulate",15
1473,"Foreign exchange students organization",9
1474,"Foreign languages program school",9
1475,"Foreign trade consultant",27
1476,"Foreman builders association",7
1477,"Forensic consultant",27
1478,"Forestry service",2
1479,"Forklift dealer",8
1480,"Forklift rental service",21
1481,"Formal wear store",32
1482,Fortress,6
1483,"Fortune telling services",4
1484,"Foster care service",19
1485,Foundation,23
1486,Foundry,21
1487,"Fountain contractor",7
1488,"Foursquare church",30
1489,"Franconian restaurant",14
1490,"Fraternal organization",23
1491,"Free clinic",17
1492,"Free parking lot",37
1493,"Freestyle wrestling",34
1494,"Freight forwarding service",37
1495,"French language school",9
1496,"French restaurant",14
1497,"French steakhouse restaurant",14
1498,"Fresh food market",32
1499,"Fried chicken takeaway",14
1500,"Friends church",30
1501,Frituur,14
1502,"Frozen dessert supplier",35
1503,"Frozen food manufacturer",14
1504,"Frozen food store",14
1505,"Frozen yogurt shop",14
1506,"Fruit and vegetable processing",2
1507,"Fruit and vegetable store",32
1508,"Fruit and vegetable wholesaler",32
1509,"Fruit parlor",14
1510,"Fruit wholesaler",32
1511,"Fruits wholesaler",32
1512,"Fujian restaurant",14
1513,"Fuel supplier",35
1514,"Fugu restaurant",14
1515,"Full dress rental service",32
1516,"Full Gospel church",30
1517,"Function room facility",12
1518,"Fund management company",13
1519,"Funeral celebrant service",1
1520,"Funeral director",1
1521,"Funeral home",1
1522,"Fur coat shop",32
1523,"Fur manufacturer",21
1524,"Fur service",32
1525,"Furnace parts supplier",35
1526,"Furnace repair service",31
1527,"Furnace store",18
1528,"Furnished apartment building",28
1529,"Furniture accessories",18
1530,"Furniture accessories supplier",35
1531,"Furniture maker",21
1532,"Furniture manufacturer",21
1533,"Furniture rental service",18
1534,"Furniture repair shop",31
1535,"Furniture store",32
1536,"Furniture wholesaler",32
1537,"Fusion restaurant",14
1538,"Futon store",18
1539,"Futsal court",34
1540,"Galician restaurant",14
1541,"Gambling house",4
1542,"Gambling instructor",9
1543,"Game store",32
1544,"Garage builder",7
1545,"Garage door supplier",35
1546,"Garbage collection service",33
1547,"Garbage dump",1
1548,"Garbage dump service",33
1549,Garden,18
1550,"Garden building supplier",35
1551,"Garden center",18
1552,"Garden furniture shop",18
1553,Gardener,18
1554,"Garment exporter",21
1555,"Gas company",10
1556,"Gas cylinders supplier",35
1557,"Gas engineer",7
1558,"Gas installation service",7
1559,"Gas logs supplier",35
1560,"Gas shop",18
1561,"Gas station",21
1562,Gasfitter,7
1563,"Gasket manufacturer",21
1564,Gastroenterologist,22
1565,"Gastrointestinal surgeon",22
1566,Gastropub,14
1567,"Gated community",28
1568,"Gay & lesbian organization",23
1569,"Gay bar",4
1570,"Gay night club",4
1571,"Gay sauna",6
1572,"Gazebo builder",7
1573,Gemologist,32
1574,Genealogist,27
1575,"General contractor",7
1576,"General education school",9
1577,"General hospital",17
1578,"General practice attorney",27
1579,"General practitioner",17
1580,"General register office",15
1581,"General store",32
1582,"Generator shop",18
1583,"Genesis dealer",8
1584,"Geography and history faculty",9
1585,"Geological research company",1
1586,"Geological service",1
1587,Geologist,1
1588,"Georgian restaurant",14
1589,"Geotechnical engineer",11
1590,Geriatrician,22
1591,"German language school",9
1592,"German restaurant",14
1593,"Ghost town",19
1594,"Gift basket store",32
1595,"Gift shop",32
1596,"Gift wrap store",32
1597,"Girl bar",4
1598,"Girls’ high school",9
1599,"Glass & mirror shop",18
1600,"Glass block supplier",35
1601,"Glass blower",4
1602,"Glass cutting service",18
1603,"Glass engraver",4
1604,"Glass etching service",4
1605,"Glass industry",21
1606,"Glass manufacturer",21
1607,"Glass merchant",18
1608,"Glass repair service",31
1609,"Glass shop",18
1610,"Glasses repair service",31
1611,"Glassware manufacturer",21
1612,"Glassware store",18
1613,"Glassware wholesaler",32
1614,Glazier,7
1615,"Gluten-free restaurant",14
1616,"GMC dealer",8
1617,"Go-kart track",34
1618,"Goan restaurant",14
1619,"Gold dealer",8
1620,"Gold mining company",21
1621,"Goldfish store",26
1622,Goldsmith,32
1623,"Golf cart dealer",8
1624,"Golf club",34
1625,"Golf course",34
1626,"Golf course builder",7
1627,"Golf driving range",34
1628,"Golf instructor",34
1629,"Golf shop",32
1630,"Gospel church",30
1631,"Gourmet grocery store",32
1632,"Government college",9
1633,"Government economic program",15
1634,"Government hospital",17
1635,"Government office",15
1636,"Government ration shop",32
1637,"Government school",9
1638,"GPS supplier",35
1639,"Graduate school",9
1640,"Graffiti removal service",25
1641,"Grain elevator",2
1642,"Grammar school",9
1643,"Granite supplier",35
1644,"Gravel pit",7
1645,"Gravel plant",7
1646,"Greco-Roman wrestling",34
1647,"Greek Orthodox church",30
1648,"Greek restaurant",14
1649,"Green energy supplier",35
1650,Greengrocer,32
1651,Greenhouse,18
1652,"Greeting card shop",32
1653,"Greyhound stadium",34
1654,"Grill store",18
1655,"Grocery delivery service",14
1656,"Grocery store",32
1657,"Ground self defense force",15
1658,"Group home",17
1659,"Guardia Civil",15
1660,"Guardia Di Finanza Police",15
1661,"Guatemalan restaurant",14
1662,"Guest house",20
1663,"Guizhou restaurant",14
1664,"Guitar instructor",9
1665,"Guitar store",32
1666,"Gujarati restaurant",14
1667,"Gun club",34
1668,"Gun shop",32
1669,"Offal barbecue restaurant",14
1670,"Gutter cleaning service",19
1671,Gym,34
1672,"Gymnasium school",9
1673,"Gymnastics center",34
1674,"Gymnastics club",34
1675,Obstetrician-gynecologist,22
1676,Gynecologist,22
1677,"Gypsum product supplier",35
1678,"Gyro restaurant",14
1679,Haberdashery,32
1680,"Hair extension technician",6
1681,"Hair extensions supplier",35
1682,"Hair removal service",6
1683,"Hair replacement service",6
1684,"Hair salon",6
1685,"Hair transplantation clinic",17
1686,"Haitian restaurant",14
1687,"Hakka restaurant",14
1688,"Halal restaurant",14
1689,"Haleem restaurant",14
1690,"Halfway house",17
1691,"Ham shop",14
1692,"Hamburger restaurant",14
1693,Hammam,16
1694,"Hand surgeon",22
1695,"Handbags shop",32
1696,"Handball club",34
1697,"Handball court",34
1698,"Handicapped transportation service",37
1699,Handicraft,4
1700,"Handicraft exporter",21
1701,"Handicraft fair",12
1702,"Handicraft museum",4
1703,"Handicraft school",9
1704,"Handicrafts wholesaler",32
1705,Handyman/Handywoman/Handyperson,19
1706,"Hang gliding center",34
1707,"Hardware store",32
1708,"Hardware training institute",9
1709,"Harley-Davidson dealer",8
1710,"Hat shop",32
1711,"Haunted house",4
1712,"Hauptschule (lower-tier secondary school)",9
1713,"Haute couture fashion house",32
1714,"Haute French restaurant",14
1715,"Hawaiian goods store",32
1716,"Hawaiian restaurant",14
1717,"Hawker centre",14
1718,"Hawker stall",14
1719,"Hay supplier",35
1720,"Head start center",9
1721,"Health and beauty shop",32
1722,"Health consultant",17
1723,"Health counselor",17
1724,"Health food restaurant",14
1725,"Health food store",32
1726,"Health insurance agency",13
1727,"Health resort",20
1728,"Health spa",16
1729,"Hearing aid repair service",31
1730,"Hearing aid store",17
1731,"Heart hospital",17
1732,"Heating contractor",7
1733,"Heating equipment supplier",35
1734,"Heating oil supplier",35
1735,"Height works",7
1736,"Helicopter charter",20
1737,"Helicopter tour agency",20
1738,Heliport,20
1739,"Helium gas supplier",35
1740,Helpline,23
1741,Hematologist,22
1742,Hepatologist,22
1743,"Herb shop",32
1744,"Herbal medicine store",32
1745,Herbalist,17
1746,"Heritage building",1
1747,"Heritage museum",4
1748,"Heritage preservation",1
1749,"Heritage railroad",37
1750,"High ropes course",34
1751,"High school",9
1752,"Higher secondary school",9
1753,"Highway patrol",15
1754,"Hiking area",34
1755,"Hindu priest",30
1756,"Hindu temple",30
1757,"Hip hop dance class",4
1758,"Hispanic church",30
1759,"Historical landmark",20
1760,"Historical place museum",4
1761,"Historical society",23
1762,"History museum",4
1763,"HIV testing center",17
1764,"Hoagie restaurant",14
1765,"Hobby store",32
1766,"Hockey club",34
1767,"Hockey field",34
1768,"Hockey rink",34
1769,"Hockey supply store",32
1770,"Holding company",27
1771,"Holiday apartment rental",20
1772,"Holiday home",20
1773,"Holistic medicine practitioner",17
1774,"Home automation company",19
1775,"Home builder",7
1776,"Home cinema installation",19
1777,"Home goods store",32
1778,"Home hairdresser",6
1779,"Home health care service",17
1780,"Home help",19
1781,"Home help service agency",19
1782,"Home improvement store",32
1783,"Home inspector",28
1784,"Home insurance agency",13
1785,"Home theater store",32
1786,"Homekill service",2
1787,"Homeless service",33
1788,"Homeless shelter",33
1789,Homeopath,22
1790,"Homeopathic pharmacy",17
1791,"Homeowners’ association",28
1792,"Honda dealer",8
1793,"Honduran restaurant",14
1794,"Honey farm",2
1795,"Cha chaan teng (Hong Kong-style cafe)",14
1796,"Hong Kong style fast food restaurant",14
1797,"Hookah bar",14
1798,"Hookah store",32
1799,"Horse boarding stable",26
1800,"Horse breeder",26
1801,"Horse rental service",26
1802,"Horse riding field",26
1803,"Horse riding school",9
1804,"Horse trailer dealer",8
1805,"Horse trainer",26
1806,"Horseback riding service",26
1807,"Horse transport supplier",35
1808,"Horseshoe smith",26
1809,"Horsestable studfarm",26
1810,"Hose supplier",35
1811,Hospice,17
1812,Hospital,17
1813,"Hospital equipment and supplies",35
1814,"Hospital department",17
1815,"Hospitality and tourism school",9
1816,"Hospitality high school",9
1817,"Host club",4
1818,Hostel,20
1819,"Hot bedstone spa",16
1820,"Hot dog restaurant",14
1821,"Hot dog stand",14
1822,"Hot pot restaurant",14
1823,"Hot spring hotel",20
1824,"Hot tub repair service",31
1825,"Hot tub store",18
1826,"Hot water system supplier",35
1827,Hotel,20
1828,"Hotel management school",9
1829,"Hotel supply store",32
1830,"House cleaning service",19
1831,"House clearance service",19
1832,"House sitter",19
1833,"House sitter agency",19
1834,"Houseboat rental service",20
1835,"Household chemicals supplier",35
1836,"Household goods wholesaler",32
1837,"Housing association",28
1838,"Housing authority",15
1839,"Housing complex",28
1840,"Housing cooperative",28
1841,"Housing development",28
1842,"Housing society",28
1843,"Housing utility company",10
1844,"Hua gong shop",32
1845,"Hua niao market place",32
1846,"Hub cap supplier",35
1847,"Human resource consulting",27
1848,"Hunan restaurant",14
1849,"Hungarian restaurant",14
1850,"Hunting and fishing store",34
1851,"Hunting area",34
1852,"Hunting club",34
1853,"Hunting preserve",34
1854,"Hunting store",32
1855,"HVAC contractor",19
1856,"Hyderabadi restaurant",14
1857,"Hydraulic engineer",11
1858,"Hydraulic equipment supplier",35
1859,"Hydraulic repair service",31
1860,"Hydroelectric power plant",10
1861,"Hydroponics equipment supplier",35
1862,"Hygiene articles wholesaler",32
1863,"Hygiene station",17
1864,"Hyperbaric medicine physician",22
1865,Hypermarket,32
1866,"Hypnotherapy service",17
1867,"Hyundai dealer",8
1868,"Ice cream equipment supplier",35
1869,"Ice cream shop",14
1870,"Ice hockey club",34
1871,"Ice skating club",34
1872,"Ice skating instructor",34
1873,"Ice skating rink",34
1874,"Ice supplier",35
1875,"Icelandic restaurant",14
1876,"ICSE school",9
1877,"Idol manufacturer",4
1878,"Ikan bakar restaurant",14
1879,"Image consultant",6
1880,"IMAX theater",4
1881,"Immigration & naturalization service",15
1882,"Immigration attorney",27
1883,"Immigration detention centre",15
1884,Immunologist,22
1885,"Impermeabilization service",24
1886,"Import export company",27
1887,Importer,27
1888,"Incense supplier",35
1889,"Incineration plant",10
1890,"Income protection insurance agency",13
1891,"Income tax help association",13
1892,"Indian grocery store",32
1893,"Indian Motorcycle dealer",8
1894,"Indian Muslim restaurant",14
1895,"Indian restaurant",14
1896,"Indian sizzler restaurant",14
1897,"Indian sweets shop",14
1898,"Indian takeaway",14
1899,"Indonesian restaurant",14
1900,"Indoor cycling",34
1901,"Indoor golf course",34
1902,"Indoor playground",4
1903,"Indoor snowcenter",4
1904,"Indoor swimming pool",34
1905,"Industrial chemicals wholesaler",32
1906,"Industrial consultant",27
1907,"Industrial door supplier",35
1908,"Industrial engineer",11
1909,"Industrial engineers association",1
1910,"Industrial equipment supplier",35
1911,"Industrial framework supplier",35
1912,"Industrial gas supplier",35
1913,"Industrial real estate agency",28
1914,"Industrial supermarket",32
1915,"Industrial technical engineers association",1
1916,"Industrial vacuum equipment supplier",35
1917,"Infectious disease physician",22
1918,"Infiniti dealer",8
1919,"Information bureau",15
1920,"Information services",27
1921,Inn,20
1922,"Insolvency service",27
1923,"Institute of Geography and Statistics",9
1924,"Instrumentation engineer",11
1925,"Insulation contractor",7
1926,"Insulation materials store",18
1927,"Insulator supplier",35
1928,"Insurance agency",13
1929,"Insurance attorney",27
1930,"Insurance broker",13
1931,"Insurance company",13
1932,"Insurance school",9
1933,"Intellectual property registry",27
1934,Intensivist,22
1935,"Interior architect office",3
1936,"Interior construction contractor",7
1937,"Interior door shop",18
1938,"Interior fitting contractor",7
1939,"Interior plant service",18
1940,"Internal medicine ward",17
1941,"International airport",37
1942,"International school",9
1943,"International trade consultant",27
1944,"Internet cafe",4
1945,"Internet marketing service",27
1946,"Internet service provider",32
1947,"Internet shop",32
1948,Internist,22
1949,"Investment bank",13
1950,"Investment company",13
1951,"Investment service",13
1952,"Invitation printing service",27
1953,"Irish goods store",32
1954,"Irish pub",14
1955,"Irish restaurant",14
1956,"Iron steel contractor",7
1957,"Iron ware dealer",8
1958,"Iron works",21
1959,"Irrigation equipment supplier",35
1960,"Israeli restaurant",14
1961,"Isuzu dealer",8
1962,"Italian grocery store",32
1963,"Italian restaurant",14
1964,"Institute of technology",9
1965,"Jaguar dealer",8
1966,"Jain temple",30
1967,"Jamaican restaurant",14
1968,"Janitorial equipment supplier",35
1969,"Janitorial service",24
1970,"Authentic Japanese restaurant",14
1971,"Japanese cheap sweets shop",14
1972,"Japanese confectionery shop",14
1973,"Japanese curry restaurant",14
1974,"Japanese delicatessen",14
1975,"Japanese grocery store",32
1976,"Ryotei restaurant",14
1977,"Izakaya restaurant",14
1978,"Japanese language instructor",9
1979,"Japanese regional restaurant",14
1980,"Japanese restaurant",14
1981,"Japanese steakhouse",14
1982,"Japanese sweets restaurant",14
1983,"Japanized western restaurant",14
1984,"Javanese restaurant",14
1985,"Jazz club",4
1986,"Jeep dealer",8
1987,"Jehovah’s Witness Kingdom Hall",30
1988,Jeweler,32
1989,"Jewelry appraiser",32
1990,"Jewelry buyer",32
1991,"Jewelry engraver",32
1992,"Jewelry equipment supplier",35
1993,"Jewelry exporter",32
1994,"Jewelry manufacturer",32
1995,"Jewelry repair service",31
1996,"Jewelry store",32
1997,"Jewish restaurant",14
1998,"Jiangsu restaurant",14
1999,Joiner,7
2000,"Judicial auction",27
2001,"Judicial scrivener",27
2002,"Judo club",34
2003,"Judo school",9
2004,"Juice shop",14
2005,"Jujitsu school",34
2006,"Junior college",9
2007,"Junk dealer",8
2008,"Junk store",32
2009,Junkyard,21
2010,"Justice department",15
2011,"Jute exporter",27
2012,"Jute mill",21
2013,"Juvenile detention center",27
2014,"Kabaddi club",34
2015,"Kaiseki restaurant",14
2016,"Kalle pache restaurant",14
2017,Karaoke,4
2018,"Karaoke bar",4
2019,"Karaoke equipment rental service",4
2020,"Karate club",34
2021,"Karate school",9
2022,"Karma dealer",8
2023,"Karnataka restaurant",14
2024,"Kashmiri restaurant",14
2025,"Kawasaki motorcycle dealer",8
2026,"Kazakhstani restaurant",14
2027,"Kebab shop",14
2028,Kennel,26
2029,"Kerala restaurant",14
2030,"Kerosene supplier",35
2031,"Key duplication service",27
2032,"Kia dealer",8
2033,"Kickboxing school",34
2034,"Kilt shop and hire",32
2035,"Kimono store",32
2036,Kindergarten,9
2037,Kinesiologist,17
2038,Kiosk,32
2039,"Kitchen furniture store",18
2040,"Kitchen remodeler",7
2041,"Kitchen supply store",18
2042,"Kite shop",32
2043,"Knife manufacturing",21
2044,"Knife store",32
2045,"Knit shop",32
2046,"Knitting instructor",9
2047,"Knitwear manufacturer",21
2048,"Kofta restaurant",14
2049,"Konkani restaurant",14
2050,"Korean barbecue restaurant",14
2051,"Korean beef restaurant",14
2052,"Korean church",30
2053,"Korean grocery store",32
2054,"Korean restaurant",14
2055,"Korean rib restaurant",14
2056,"Koshari restaurant",14
2057,"Kosher grocery store",14
2058,"Kosher restaurant",14
2059,"Kung fu school",34
2060,"Kushiyaki restaurant",14
2061,"Kyoto style Japanese restaurant",14
2062,"Labor relations attorney",27
2063,"Labor union",27
2064,Laboratory,17
2065,"Laboratory equipment supplier",35
2066,"Ladder supplier",35
2067,"Lamborghini dealer",8
2068,"Laminating equipment supplier",35
2069,"Lamination service",27
2070,"Lamp repair service",31
2071,"Lamp shade supplier",35
2072,"Lancia dealer",8
2073,"Land allotment",28
2074,"Land planning authority",15
2075,"Land reform institute",15
2076,"Land Rover dealer",8
2077,"Land surveying office",7
2078,"Land surveyor",7
2079,"Landscape architect",3
2080,"Landscape designer",18
2081,"Landscape lighting designer",18
2082,Landscaper,18
2083,"Landscaping supply store",18
2084,"Language school",9
2085,"Laotian restaurant",14
2086,Lapidary,4
2087,"Laser cutting service",21
2088,"Laser equipment supplier",35
2089,"Laser hair removal service",6
2090,"Laser tag center",4
2091,"Lasik surgeon",22
2092,"Latin American restaurant",14
2093,Laundromat,25
2094,Laundry,25
2095,"Laundry service",25
2096,"Law book store",32
2097,"Law firm",27
2098,"Law library",27
2099,"Law school",9
2100,"Lawn bowls club",34
2101,"Lawn care service",18
2102,"Lawn equipment rental service",18
2103,"Lawn irrigation equipment supplier",35
2104,"Lawn mower repair service",31
2105,"Lawn mower store",18
2106,"Lawn sprinkler system contractor",18
2107,Lawyer,27
2108,"Lawyers association",27
2109,"Leagues club",34
2110,"Learner driver training area",21
2111,"Learning center",9
2112,"Leasing service",13
2113,"Leather cleaning service",19
2114,"Leather coats store",32
2115,"Leather exporter",27
2116,"Leather goods manufacturer",21
2117,"Leather goods store",32
2118,"Leather goods supplier",35
2119,"Leather goods wholesaler",32
2120,"Leather repair service",31
2121,"Leather wholesaler",32
